Question #,Question Text,Answer 1,Answer 2,Answer 3 (Optional),Answer 4 (Optional),Time Limit (sec) (Max: 300 seconds),Correct Answer(s) (Only include Answer #)
1,버섯과 곰팡이 같은 생물을 무엇이라고 하나요?,균류,원생생물,세균,식물,20,1
2,해캄과 짚신벌레 같은 생물을 무엇이라고 하나요?,원생생물,균류,세균,곤충,20,1
3,크기가 매우 작아서 맨눈으로 관찰할 수 없는 생물은 무엇인가요?,세균,균류,원생생물,곤충,20,1
4,실체 현미경에서 눈으로 보는 렌즈로 물체의 상을 확대하는 부분은?,접안렌즈,대물렌즈,재물대,회전판,20,1
5,실체 현미경에서 관찰 대상 쪽의 렌즈로 물체의 상을 확대하는 부분은?,대물렌즈,접안렌즈,재물대,조명 조절 나사,20,1
6,실체 현미경에서 관찰 대상을 올려놓는 곳은 어디인가요?,재물대,회전판,접안렌즈,대물렌즈,20,1
7,실체 현미경에서 대물렌즈의 배율을 조절하는 나사는 무엇인가요?,회전판,초점 조절 나사,조명 조절 나사,재물대,20,1
8,실체 현미경에서 상의 초점을 맞출 때 사용하는 나사는 무엇인가요?,초점 조절 나사,회전판,조명 조절 나사,재물대,20,1
9,실체 현미경에서 조명을 켜고 끄며 밝기를 조절하는 나사는 무엇인가요?,조명 조절 나사,초점 조절 나사,회전판,재물대,20,1
10,실체 현미경 사용 시 가장 먼저 회전판을 돌려 대물렌즈의 배율을 어떻게 맞추나요?,가장 낮게 한다,가장 높게 한다,중간으로 한다,그대로 둔다,25,1
11,"실체 현미경으로 초점을 맞출 때, 초점 조절 나사로 무엇을 관찰 대상에 가깝게 내리나요?",대물렌즈,접안렌즈,재물대,회전판,25,1
12,"실체 현미경 사용법 중, 전원을 켠 뒤 조명 조절 나사로 조절하는 것은 무엇인가요?",빛의 밝기,대물렌즈 배율,초점,재물대 높이,25,1
13,접안렌즈로 관찰 대상을 보면서 대물렌즈를 천천히 올리는 마지막 단계는 무엇을 하기 위함인가요?,초점을 맞추기 위해,배율을 낮추기 위해,빛을 밝게 하기 위해,대상을 치우기 위해,25,1
14,맨눈이나 돋보기로 버섯을 관찰했을 때 윗부분 안쪽에 많이 보이는 것은?,주름,가시,털,반점,20,1
15,실체 현미경으로 곰팡이를 관찰하면 어떤 모습인가요?,실처럼 가늘고 긴 가닥이 거미줄처럼 엉켜 있다,둥근 알갱이가 뭉쳐 있다,막대 모양이 줄지어 있다,나선 모양 가닥이 보인다,25,1
